pathway,-log10(pvalue)
REACTOME TRANSPORT OF ORGANIC ANIONS,-0
REACTOME SYNTHESIS SECRETION AND INACTIVATION OF GLP1,-0
REACTOME REGULATION OF WATER BALANCE BY RENAL AQUAPORINS,-0
REACTOME DESTABILIZATION OF MRNA BY BRF1,-0
REACTOME IRAK1 RECRUITS IKK COMPLEX,-0
REACTOME TRAF6 MEDIATED NFKB ACTIVATION,-0
REACTOME REGULATION OF IFNG SIGNALING,-0
REACTOME GABA A RECEPTOR ACTIVATION,-0
REACTOME REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU RICH ELEMENTS,-0
REACTOME INHIBITION OF VOLTAGE GATED CA2 CHANNELS VIA GBETA GAMMA SUBUNITS,-0
REACTOME IRAK2 MEDIATED ACTIVATION OF TAK1 COMPLEX UPON TLR7 8 OR 9 STIMULATION,-0
REACTOME TRAF6 MEDIATED INDUCTION OF NFKB AND MAP KINASES UPON TLR7 8 OR 9 ACTIVATION,-0
REACTOME GABA B RECEPTOR ACTIVATION,-0
REACTOME NFKB ACTIVATION THROUGH FADD RIP1 PATHWAY MEDIATED BY CASPASE 8 AND10,-0
REACTOME DESTABILIZATION OF MRNA BY KSRP,-0
REACTOME TRANSPORT TO THE GOLGI AND SUBSEQUENT MODIFICATION,-0
REACTOME IRON UPTAKE AND TRANSPORT,-0
REACTOME DESTABILIZATION OF MRNA BY TRISTETRAPROLIN TTP,-0
REACTOME INTERFERON GAMMA SIGNALING,-0
REACTOME N GLYCAN ANTENNAE ELONGATION,-0
REACTOME TRAF6 MEDIATED IRF7 ACTIVATION IN TLR7 8 OR 9 SIGNALING,-0
REACTOME ACTIVATION OF IRF3 IRF7 MEDIATED BY TBK1 IKK EPSILON,-0
REACTOME ION TRANSPORT BY P TYPE ATPASES,-0
REACTOME INTERFERON ALPHA BETA SIGNALING,-0
REACTOME ADVANCED GLYCOSYLATION ENDPRODUCT RECEPTOR SIGNALING,-0
REACTOME GABA RECEPTOR ACTIVATION,-0
REACTOME KINESINS,-0
REACTOME N GLYCAN ANTENNAE ELONGATION IN THE MEDIAL TRANS GOLGI,-0
REACTOME REGULATION OF IFNA SIGNALING,-0
REACTOME INTERFERON SIGNALING,-0
REACTOME NEGATIVE REGULATORS OF RIG I MDA5 SIGNALING,-0
REACTOME NFKB AND MAP KINASES ACTIVATION MEDIATED BY TLR4 SIGNALING REPERTOIRE,-0
REACTOME TRANSFERRIN ENDOCYTOSIS AND RECYCLING,-0
REACTOME DSCAM INTERACTIONS,-0
REACTOME ION CHANNEL TRANSPORT,-0
REACTOME DESTABILIZATION OF MRNA BY AUF1 HNRNP D0,-0
REACTOME TRAF6 MEDIATED INDUCTION OF TAK1 COMPLEX,-0
REACTOME IKK COMPLEX RECRUITMENT MEDIATED BY RIP1,-0
REACTOME LIGAND GATED ION CHANNEL TRANSPORT,-0
REACTOME FORMATION OF INCISION COMPLEX IN GG NER,-0
REACTOME ENDOSOMAL SORTING COMPLEX REQUIRED FOR TRANSPORT ESCRT,-0
REACTOME MEIOTIC RECOMBINATION,-0
REACTOME IL 2 SIGNALING,-0
REACTOME IL 6 SIGNALING,-0
REACTOME PLATELET AGGREGATION PLUG FORMATION,-0
REACTOME LAGGING STRAND SYNTHESIS,-0
REACTOME INTRINSIC PATHWAY,-0
REACTOME INHIBITION OF REPLICATION INITIATION OF DAMAGED DNA BY RB1 E2F1,-0
REACTOME ETHANOL OXIDATION,-0
REACTOME SYNTHESIS OF VERY LONG CHAIN FATTY ACYL COAS,-0
REACTOME DNA REPLICATION,-0
REACTOME CLEAVAGE OF GROWING TRANSCRIPT IN THE TERMINATION REGION ,-0
REACTOME PKB MEDIATED EVENTS,-0
REACTOME E2F MEDIATED REGULATION OF DNA REPLICATION,-0
REACTOME METABOLISM OF CARBOHYDRATES,-0
REACTOME HORMONE SENSITIVE LIPASE HSL MEDIATED TRIACYLGLYCEROL HYDROLYSIS,-0
REACTOME SIGNALING BY INSULIN RECEPTOR,-0
REACTOME SIGNAL ATTENUATION,-0
REACTOME PURINE METABOLISM,-0
REACTOME SOS MEDIATED SIGNALLING,-0
REACTOME RNA POL III TRANSCRIPTION INITIATION FROM TYPE 3 PROMOTER,-0
REACTOME APOPTOSIS,-0
REACTOME INFLUENZA LIFE CYCLE,-0
REACTOME INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION,-0
REACTOME NEP NS2 INTERACTS WITH THE CELLULAR EXPORT MACHINERY,-0
REACTOME HIV INFECTION,-0
REACTOME TRANSPORT OF RIBONUCLEOPROTEINS INTO THE HOST NUCLEUS,-0
REACTOME HIV LIFE CYCLE,-0
REACTOME ABORTIVE ELONGATION OF HIV1 TRANSCRIPT IN THE ABSENCE OF TAT,-0
REACTOME EARLY PHASE OF HIV LIFE CYCLE,-0
REACTOME HOST INTERACTIONS OF HIV FACTORS,-0
REACTOME RNA POL III TRANSCRIPTION TERMINATION,-0
REACTOME RESPIRATORY ELECTRON TRANSPORT ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING AND HEAT PRODUCTION BY UNCOUPLING PROTEINS ,-0
REACTOME FORMATION OF THE HIV1 EARLY ELONGATION COMPLEX,-0
REACTOME RAF MAP KINASE CASCADE,-0
REACTOME VIRAL MESSENGER RNA SYNTHESIS,-0
REACTOME LATE PHASE OF HIV LIFE CYCLE,-0
REACTOME SHC MEDIATED SIGNALLING,-0
REACTOME INTERACTIONS OF VPR WITH HOST CELLULAR PROTEINS,-0
REACTOME FORMATION OF ATP BY CHEMIOSMOTIC COUPLING,-0
REACTOME APC C CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1,-0
REACTOME ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS,-0
REACTOME UNWINDING OF DNA,-0
REACTOME APC C CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS,-0
REACTOME GLUCURONIDATION,-0
REACTOME AUTODEGRADATION OF CDH1 BY CDH1 APC C,-0
REACTOME MYD88 MAL CASCADE INITIATED ON PLASMA MEMBRANE,-0
REACTOME REGULATION OF GLUCOKINASE BY GLUCOKINASE REGULATORY PROTEIN,-0
REACTOME MITOTIC PROMETAPHASE,-0
REACTOME APC C CDC20 MEDIATED DEGRADATION OF CYCLIN B,-0
REACTOME SCF BETA TRCP MEDIATED DEGRADATION OF EMI1,-0
REACTOME LIPOPROTEIN METABOLISM,-0
REACTOME G1 S SPECIFIC TRANSCRIPTION,-0
REACTOME THE ROLE OF NEF IN HIV1 REPLICATION AND DISEASE PATHOGENESIS,-0
REACTOME CONVERSION FROM APC C CDC20 TO APC C CDH1 IN LATE ANAPHASE,-0
REACTOME ACTIVATED TLR4 SIGNALLING,-0
REACTOME BINDING AND ENTRY OF HIV VIRION,-0
REACTOME PHOSPHORYLATION OF THE APC C,-0
REACTOME CYTOSOLIC SULFONATION OF SMALL MOLECULES,-0
REACTOME INTEGRATION OF PROVIRUS,-0
REACTOME GLUTATHIONE CONJUGATION,-0
REACTOME COMPLEMENT CASCADE,-0
REACTOME PHASE II CONJUGATION,-0
REACTOME MTORC1 MEDIATED SIGNALLING,-0
REACTOME TOLL RECEPTOR CASCADES,-0
REACTOME ACTIVATION OF BH3 ONLY PROTEINS,-0
REACTOME GLUCOSE METABOLISM,-0
REACTOME RNA POL III CHAIN ELONGATION,-0
REACTOME VOLTAGE GATED POTASSIUM CHANNELS,-0
REACTOME ADAPTIVE IMMUNE SYSTEM,-0
REACTOME NOD1 2 SIGNALING PATHWAY,-0
REACTOME CYTOKINE SIGNALING IN IMMUNE SYSTEM,-0
REACTOME MEIOTIC SYNAPSIS,-0
REACTOME ANTIGEN PRESENTATION FOLDING ASSEMBLY AND PEPTIDE LOADING OF CLASS I MHC,-0
REACTOME THE NLRP3 INFLAMMASOME,-0
REACTOME CLASS I MHC MEDIATED ANTIGEN PROCESSING PRESENTATION,-0
REACTOME NONSENSE MEDIATED DECAY ENHANCED BY THE EXON JUNCTION COMPLEX,-0
REACTOME PIP3 ACTIVATES AKT SIGNALING,-0
REACTOME ANTIGEN PROCESSING UBIQUITINATION PROTEASOME DEGRADATION,-0
REACTOME TANDEM PORE DOMAIN POTASSIUM CHANNELS,-0
REACTOME INFLAMMASOMES,-0
REACTOME POTASSIUM CHANNELS,-0
REACTOME NUCLEOTIDE BINDING DOMAIN LEUCINE RICH REPEAT CONTAINING RECEPTOR NLR SIGNALING PATHWAYS,-0
REACTOME INWARDLY RECTIFYING K CHANNELS,-0
REACTOME AMYLOIDS,-0
REACTOME PACKAGING OF TELOMERE ENDS,-0
REACTOME TELOMERE MAINTENANCE,-0
REACTOME PLATELET ACTIVATION SIGNALING AND AGGREGATION,-0
REACTOME REMOVAL OF THE FLAP INTERMEDIATE FROM THE C STRAND,-0
REACTOME CREATION OF C4 AND C2 ACTIVATORS,-0
REACTOME APC CDC20 MEDIATED DEGRADATION OF NEK2A,-0
REACTOME INITIAL TRIGGERING OF COMPLEMENT,-0
REACTOME EXTENSION OF TELOMERES,-0
REACTOME G2 M CHECKPOINTS,-0
REACTOME G2 M DNA DAMAGE CHECKPOINT,-0
REACTOME S PHASE,-0
REACTOME SCFSKP2 MEDIATED DEGRADATION OF P27 P21,-0
REACTOME TRYPTOPHAN CATABOLISM,-0
REACTOME DNA STRAND ELONGATION,-0
REACTOME RESOLUTION OF AP SITES VIA THE SINGLE NUCLEOTIDE REPLACEMENT PATHWAY,-0
REACTOME FGFR LIGAND BINDING AND ACTIVATION,-0
REACTOME CHOLESTEROL BIOSYNTHESIS,-0
REACTOME APOBEC3G MEDIATED RESISTANCE TO HIV1 INFECTION,-0
REACTOME GAP JUNCTION TRAFFICKING,-0
REACTOME FGFR2C LIGAND BINDING AND ACTIVATION,-0
REACTOME METABOLISM OF PORPHYRINS,-0
REACTOME FGFR4 LIGAND BINDING AND ACTIVATION,-0
REACTOME VIF MEDIATED DEGRADATION OF APOBEC3G,-0
REACTOME SIGNALING BY FGFR,-0
REACTOME DIGESTION OF DIETARY CARBOHYDRATE,-0
REACTOME FGFR1 LIGAND BINDING AND ACTIVATION,-0
REACTOME GAP JUNCTION ASSEMBLY,-0
REACTOME SYNTHESIS OF GLYCOSYLPHOSPHATIDYLINOSITOL GPI,-0
REACTOME RNA POL I TRANSCRIPTION INITIATION,-0
REACTOME PYRIMIDINE METABOLISM,-0
REACTOME INTRINSIC PATHWAY FOR APOPTOSIS,-0
REACTOME PI3K CASCADE,-0
REACTOME APOPTOTIC EXECUTION PHASE,-0
REACTOME SHC RELATED EVENTS,-0
NABA COLLAGENS,-0
NABA ECM GLYCOPROTEINS,-0
NABA ECM REGULATORS,-0
NABA ECM AFFILIATED,-0
NABA PROTEOGLYCANS,-0
NABA SECRETED FACTORS,-0
NABA CORE MATRISOME,-0
NABA MATRISOME ASSOCIATED,-0
NABA BASEMENT MEMBRANES,-0
NABA MATRISOME,-0
